assetId,symbol,name,assetClass,region,dataSourceId,provider,dataset,businessDate,open,high,low,close,volume
BTCUSD,BTC,Bitcoin / USD,crypto,Global,NASDAQ_DATA_LINK_BITFINEX,Nasdaq Data Link,BITFINEX,2024-01-01,42000,43100,41000,42650,1250
BTCUSD,BTC,Bitcoin / USD,crypto,Global,NASDAQ_DATA_LINK_BITFINEX,Nasdaq Data Link,BITFINEX,2024-01-02,42500,44000,42000,43800,1500
BTCUSD,BTC,Bitcoin / USD,crypto,Global,NASDAQ_DATA_LINK_BITFINEX,Nasdaq Data Link,BITFINEX,2024-01-03,43800,44500,43000,44100,1700
BTCUSD,BTC,Bitcoin / USD,crypto,Global,NASDAQ_DATA_LINK_BITFINEX,Nasdaq Data Link,BITFINEX,2024-01-04,44100,45200,43600,44800,1600
BTCUSD,BTC,Bitcoin / USD,crypto,Global,NASDAQ_DATA_LINK_BITFINEX,Nasdaq Data Link,BITFINEX,2024-01-05,44800,45500,44000,45000,1800
ETHUSD,ETH,Ethereum / USD,crypto,Global,NASDAQ_DATA_LINK_BITFINEX,Nasdaq Data Link,BITFINEX,2024-01-01,2200,2300,2150,2250,9000
ETHUSD,ETH,Ethereum / USD,crypto,Global,NASDAQ_DATA_LINK_BITFINEX,Nasdaq Data Link,BITFINEX,2024-01-02,2250,2350,2220,2320,9500
ETHUSD,ETH,Ethereum / USD,crypto,Global,NASDAQ_DATA_LINK_BITFINEX,Nasdaq Data Link,BITFINEX,2024-01-03,2320,2400,2280,2380,9700
ETHUSD,ETH,Ethereum / USD,crypto,Global,NASDAQ_DATA_LINK_BITFINEX,Nasdaq Data Link,BITFINEX,2024-01-04,2380,2450,2340,2400,9900
ETHUSD,ETH,Ethereum / USD,crypto,Global,NASDAQ_DATA_LINK_BITFINEX,Nasdaq Data Link,BITFINEX,2024-01-05,2400,2480,2360,2460,10100
